Magnetic Link para baixar todos de uma vez (Tamanho: 371.49 Gb);magnet:?xt=urn:btih:009a0979afcf4bd3e52abc889d9e7a2652c009c4&dn=1389+sony+playstation+roms&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce
98 Koushien - Koukou Yakyuu Simulation (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/%2798%20Koushien%20-%20Koukou%20Yakyuu%20Simulation%20%28Japan%29.7z
Butagee' de Iinja Nai (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/%27Butagee%27%20de%20Iinja%20Nai%20%28Japan%29.7z
007 - Der Morgen Stirbt Nie (G);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/007%20-%20Der%20Morgen%20Stirbt%20Nie%20%28G%29%20%5BSLES-02376%5D.7z
007 - Die Welt ist Nicht Genug (G);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/007%20-%20Die%20Welt%20ist%20Nicht%20Genug%20%28G%29%20%5BSLES-03136%5D.7z
007 - El Mundo Nunca Es Suficiente (S);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/007%20-%20El%20Mundo%20Nunca%20Es%20Suficiente%20%28S%29%20%5BSLES-03137%5D.7z
007 - The World is Not Enough (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/007%20-%20The%20World%20is%20Not%20Enough%20%28E%29%20%5BSLES-03134%5D.7z
007 - The World Is Not Enough [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/007%20-%20The%20World%20Is%20Not%20Enough%20%28USA%29.7z
007 - Tomorrow Never Dies (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/007%20-%20Tomorrow%20Never%20Dies%20%28E%29%20%5BSLES-01324%5D.7z
007 - Tomorrow Never Dies (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/007%20-%20Tomorrow%20Never%20Dies%20%28Japan%29%20%5BSLPS-02604%5D.rar
007 - Tomorrow Never Dies [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/007%20-%20Tomorrow%20Never%20Dies%20%28USA%29.7z
007 Racing [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/007%20Racing%20%28USA%29.7z
100 Man Yen Quiz Hunter (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/100%20Man%20Yen%20Quiz%20Hunter%20%28Japan%29.7z
10101 - Will the Starship (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/10101%20-%20Will%20the%20Starship%20%28Japan%29%20%5BSLPS-01054%5D.rar
102 Dalmations - Puppies to the Rescue [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Disney%27s%20102%20Dalmatians%20-%20Puppies%20to%20the%20Rescue%20%28USA%29.7z
10th Anniversary Memorial Save Data (Japan) (Disc 1) ('PlayStation Taiou');http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/10th%20Anniversary%20Memorial%20Save%20Data%20%28Japan%29%20%28Disc%201%29%20%28%27PlayStation%20Taiou%27%29.7z
16 Tales 2 [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/16%20Tales%202%20%28USA%29.7z
19 ji 03 pun Ueno Hatsu Yakou Ressha (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/19%20ji%2003%20pun%20Ueno%20Hatsu%20Yakou%20Ressha%20%28Japan%29%20%5BSLPS-01865%5D.rar
1Xtreme [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/1Xtreme%20%28USA%29.7z
2 Demos in 1 - Driver + V-Rally - Championship Edition 2 (J);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/2%20Demos%20in%201%20-%20Driver%20%2B%20V-Rally%20-%20Championship%20Edition%202%20%28J%29%20%5BSLPS-02466%5D.rar
2002 FIFA World Cup (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/2002%20FIFA%20World%20Cup%20%28E%29%20%5BSLES-03830%5D.7z
2999 Nen no Game Kids (J);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/2999%20Nen%20no%20Game%20Kids%20%28J%29%20%5BSCPS-19004%5D.rar
2Xtreme (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/2Xtreme%20%28E%29%20%5BSCES-00400%5D.rar
2Xtreme [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/2Xtreme%20%28USA%29.7z
3, 2, 1, Smurf! My First Racing Game (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/3%2C%202%2C%201%2C%20Smurf%21%20My%20First%20Racing%20Game%20%28E%29%20%5BSLES-03120%5D.7z
3D Baseball [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/3D%20Baseball%20%28USA%29.7z
3D Kakutou Tkool (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/3D%20Kakutou%20Tkool%20%28Japan%29.7z
3D Lemmings (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/3D%20Lemmings%20%28E%29%20%5BSCES-00009%5D.rar
3D Lemmings (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/3D%20Lemmings%20%28Japan%29.7z
3D Mission Shooting - Finalist (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/3D%20Mission%20Shooting%20-%20Finalist%20%28Japan%29.7z
3D Shooting Tkool (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/3D%20Shooting%20Tkool%20%28Japan%29.7z
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/3x3%20Eyes%20-%20Kyuusei%20Koushu%20%28Japan%29%20%28Disc%201%29.7z
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/3x3%20Eyes%20-%20Kyuusei%20Koushu%20%28Japan%29%20%28Disc%202%29.7z
3x3 Eyes - Tenrinou Genmu (Japan) (Disc 1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/3x3%20Eyes%20-%20Tenrinou%20Genmu%20%28Japan%29%20%28Disc%201%29%20%5BSLPS-01497%5D.rar
3x3 Eyes - Tenrinou Genmu (Japan) (Disc 2);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/3x3%20Eyes%20-%20Tenrinou%20Genmu%20%28Japan%29%20%28Disc%202%29%20%5BSLPS-01498%5D.rar
3x3 Eyes - Tenrinou Genmu (Japan) (Disc 3);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/3x3%20Eyes%20-%20Tenrinou%20Genmu%20%28Japan%29%20%28Disc%203%29%20%5BSLPS-01499%5D.rar
3Xtreme [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/3Xtreme%20%28USA%29.7z
40 Winks [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/40%20Winks%20%28USA%29.7z
